,ratings,review
99,5,"It's a new iPhone! It's faster than the last ones I guess, and it should be good for the next 80k miles. The only gripes I might have, probably is not with the phone but the latest incarnation of iOS. I had to go into settings to turn off facial awareness to have a loud ringer, and it seems my screen isn't nearly as sensitive to touch in text areas as my old XR. As I've said though, it's most likely something in the new Operating System yet to be ironed out. Still a nice piece of kit, yet no ...READ MORE"
100,5,If you have the budget go ahead and buy without any other thoughtsREAD MORE
101,5,Good performance and camera 😍😍😍😍READ MORE
102,5,Nice Camera QuilityREAD MORE
103,5,Elegant piece.READ MORE
104,5,It the best and smoothest phone i have used till date People ised to say iphones have less features than android but i am discovering isefull features daily. Camera is brilliant but has the same typical iphone lens flare issueREAD MORE
105,5,I just loved the mobile pics are good battery is good tooREAD MORE
106,5,Always IPhone is bestREAD MORE
107,5,*Awesome Phone*Must buy ...READ MORE
108,5,Beast phone …. Camera is exceptionally bestREAD MORE
109,5,The product is good in terms of camera quality and overall experience.READ MORE
110,5,Awesome 👍😎READ MORE
111,1,Type c to Lightening cable stopped working after 2 daysREAD MORE
112,5,💥Next Level LookingREAD MORE
113,5,"Very impressed with this order.. i phone 13 best in class , awsm camera quality, fastest in speed,Very happy with my productREAD MORE"
114,5,If u have enough money .. surely GO FOR ITAlthogh there is no big difference between 12 and 13 but diagonal cameras make it look different and unique from others Pro level mobile.. these are just simple images taken randomlyREAD MORE
115,5,The most premium feeling I ever had while holding a phone was of this iphone 13.This is my first iPhone apart from having ipad pro but i can guarentee you that it had the most premium in hand experience.The flipkart service was awesome and it got delivered before expected date. Hats off! Overall an excellent experience it was. An iphone is not hyped just for no reason. 👌READ MORE
116,5,Amazing phone I bought it on BBD sale for my wife and everything is perfect in this phone..READ MORE
117,5,I like iPhone 13 because battery backup is best also fast changing ….Camera 👌👌READ MORE
118,5,I phone 13 is one of the best phone ever it's worth it If you thinking to buy this phone go ahead it's best choice for this price rangeREAD MORE
119,5,Superb Phone.... I loved it....READ MORE
120,5,FabulousREAD MORE
121,5,Worth itREAD MORE
122,5,My 1st IPhone…Nothing to say just love itREAD MORE
123,5,Awesome Gadget as expected….But overpriced….Overall Performance is up to the mark. Especially battery battery performance is outstanding. Camera=Average Performance. Overall 5/5 star.READ MORE
124,5,exceptionally great phone. switched from android to ios and my first experience is just fabulous. i recommend this phone if you want to use it for 4-5 years.READ MORE
125,5,Classy Product awesome lookREAD MORE
126,5,As beautiful as pic and as good as it has tooREAD MORE
127,5,Best camera best performanceREAD MORE
128,5,"I ordered this Iphone 13 from flipkart on big billions day.One of the best phone I have ever used.Amazing camera,amazing sound quality,amazing video and screen quality.Good built quality.Overall a good phone.At last Iphone.It is successfully delivered by Ekart logistic.Thanks flipkart for delivering my Iphone.READ MORE"
129,5,Nice product very optimized battery front camera average  very good back cameraREAD MORE
130,5,My first Apple products..no comparison..to other ✨READ MORE
131,5,I am sharing my experience after using 20 days of this phone.Camera quality is great 5/5Video quality is also great 5/5Battery life is Good 5/4Display is awesome.Overall phone is awesome 😍😍. I am also sharing some photos which have been taken from this phone.READ MORE
132,5,"If there is a will to own an iPhone, there is always a way.READ MORE"
133,5,"The camera is superb, while watching movies my honor 9lite perform better in display,but the sound i prefer iphone its crystal clear.. Overall its good but too expensive..READ MORE"
134,5,"It’s a camera and performance beast mobile no doubt, it feels premium in hand. It’s not that much value for money, I’d rather say no person buys apple products for value for money. Overall good product. Other than that it’s iPhone, go for it.READ MORE"
135,5,AwesomeREAD MORE
136,5,OutstandingREAD MORE
137,5,Superb Great performance Good quality photoREAD MORE
138,5,It is worth it Got the deal only at 52019Camera quality is excellentBattery backup is also good enough to use atleast one dayAnd build quality is also superbREAD MORE
139,5,Good better Than AndroidREAD MORE
140,5,For Cinematographers 💯🪄READ MORE
141,5,Using for almost 2 months.. very happy with the product 🤩READ MORE
142,5,Superb camera quality If apple would provide the adapter it would be much better 😁READ MORE
143,5,Satisfying productREAD MORE
144,5,Switched from Android to Ios. Had a Great Experience. Just loved it❤️❤️🎉READ MORE
145,5,"Super Buy. Phone is super fast though RAM size in paper less than competitors. Display super immersive, can use for hours without any eye strain. PREMIUM 5 STAR PRODUCT ANYDAY !READ MORE"
