,ratings,review
130,3,"Colour is very good .but they should improve battery performance. Display quality is very good .camera  is much better of samsung mobile.earlier i was using samsung ,camera quality of samsung is much better for video purpose iphone is good,very slow charging.otherwise  everything is good.the main problem is battery charging and its performance.READ MORE"
131,5,Awesome camera…. Best premium phone with superb performanceREAD MORE
132,5,"Shifting from Android after 10 yearsCons in iphone or ios:1.Notification centre is a mess , many of notification you leave unread.2.No back gesture3.Camera unable to focus on small textCan't decline call when phone is locked4.Limited file sharing options5.File manager is useless as there is no app-linked folders6.Google apps syncing isn't that smooth , limited options for google drive.Pros in iphone or ios:1.No lag, every thing happens like snap2.Camera is so good3.Easily get fu...READ MORE"
133,3,I m nt happy with camera other wise all department is coolREAD MORE
134,3,Very bad experience with battery backupREAD MORE
135,4,"This device offers excellent features, however, it is not recommended for purchase due to the reduction in camera quality and battery life. Despite these drawbacks, the build quality is robust and superior to the latest iPhone model.READ MORE"
136,5,Awesome camera qualityREAD MORE
137,1,with in a month the touch got stoppedREAD MORE
138,3,Battery performance is not goodREAD MORE
139,4,Camera 9/10Video Recording cinematic 10/10Battery 10/10 superb battery backupOverall Performance 9.2/10READ MORE
140,4,Display superb jest owsome and 49 k purchasedREAD MORE
141,3,Good performanceREAD MORE
142,2,The camera quality is not at all goodREAD MORE
143,3,Phone has small scratches on screen.... while charging phone battery get too hot.READ MORE
